,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Windsor Plaza,Cameron,Johnson-White,37,Head,Married,Male,Landscape architect,None,Christian
1,1,Windsor Plaza,Katherine,Johnson-White,26,Wife,Married,Female,"Presenter, broadcasting",None,None
2,1,Windsor Plaza,Jack,Cook,41,Lodger,Divorced,Male,Risk manager,None,Methodist
3,2,Windsor Plaza,Marie,Allen,44,Head,Single,Female,Midwife,None,Catholic
4,3,Windsor Plaza,Janice,Harrison,55,Head,Single,Female,Warehouse manager,None,Christian
5,4,Windsor Plaza,Charlotte,Bishop,63,Head,Divorced,Female,"Education officer, environmental",None,Christian
6,1,Gracehawk Street,Stephen,Thompson,36,Head,Single,Male,Air broker,None,None
7,1,Gracehawk Street,Lesley,King,38,Partner,Single,Female,Musician,None,None
8,2,Gracehawk Street,Graeme,Wilson,57,Head,Single,Male,Commercial horticulturist,None,Christian
9,3,Gracehawk Street,June,Collins,81,Head,Widowed,Female,Retired Special effects artist,None,Christian
10,4,Gracehawk Street,Donna,Roberts,79,Head,Widowed,Female,"Retired Engineer, building services",None,None
11,5,Gracehawk Street,Gemma,Allen,58,Head,Divorced,Female,Software engineer,None,None
12,6,Gracehawk Street,Antony,Howarth,65,Head,Divorced,Male,"Administrator, education",None,Christian
13,7,Gracehawk Street,Scott Lee,Page,43,Head,Single,Male,Wellsite geologist,None,Christian
14,8,Gracehawk Street,Helen,Martin,53,Head,Single,Female,Radio producer,None,None
15,9,Gracehawk Street,Charlene,Rees,32,Head,Married,Female,"Lecturer, further education",None,None
16,9,Gracehawk Street,Timothy,Rees,34,Husband,Married,Male,"Psychologist, forensic",None,None
17,9,Gracehawk Street,Billy,Rees,9,Son,NA,Male,Student,None,NA
18,10,Gracehawk Street,Nicola,Robinson,20,Head,Divorced,Female,University Student,None,Muslim
19,11,Gracehawk Street,Hayley,Harris,47,Head,Single,Female,"Editor, magazine features",None,Catholic
20,11,Gracehawk Street,Danielle,Horton,32,None,Single,Female,"Editor, film/video",None,Christian
21,12,Gracehawk Street,Lynn,Morgan,34,Head,Single,Female,Corporate treasurer,None,Catholic
22,13,Gracehawk Street,Guy,James,19,Head,Single,Male,University Student,None,Christian
23,13,Gracehawk Street,Glenn,White,21,None,Single,Male,University Student,None,None
24,13,Gracehawk Street,Victor,Lowe,20,None,Single,Male,University Student,None,Methodist
25,14,Gracehawk Street,Samuel,Howe,45,Head,Single,Male,"Radiographer, therapeutic",None,None
26,15,Gracehawk Street,Abbie,Jones,77,Head,Widowed,Female,Retired Government social research officer,None,Catholic
27,16,Gracehawk Street,Holly,Kaur,68,Head,Widowed,Female,Retired Financial trader,None,Christian
28,17,Gracehawk Street,Hugh,Collins,73,Head,Divorced,Male,Retired Dispensing optician,None,None
29,18,Gracehawk Street,Sandra,Little,75,Head,Married,Female,Retired Immigration officer,None,Christian
30,18,Gracehawk Street,Declan,Little,78,Husband,Married,Male,"Retired Designer, graphic",None,Christian
31,19,Gracehawk Street,Duncan,Ross,54,Head,Single,Male,"Embryologist, clinical",None,Catholic
32,1,Fisher Ville,Georgina,Wilson,57,Head,Single,Female,"Surveyor, rural practice",None,Christian
33,2,Fisher Ville,Natalie,Wong,47,Head,Married,Female,Nutritional therapist,None,Methodist
34,2,Fisher Ville,Louis,Wong,50,Husband,Married,Male,Unemployed,None,Methodist
35,3,Fisher Ville,Marie,Hicks,73,Head,Married,Female,"Retired Teacher, special educational needs",None,Christian
36,3,Fisher Ville,Cameron,Hicks,80,Husband,Married,Male,Retired Museum education officer,None,Christian
37,4,Fisher Ville,Janet,Roberts,75,Head,Divorced,Female,"Retired Programmer, multimedia",None,Christian
38,4,Fisher Ville,Dennis,Roberts,42,Son,Single,Male,Unemployed,None,None
39,5,Fisher Ville,Lynn,Davies,26,Head,Widowed,Female,"Administrator, charities/voluntary organisations",None,Sikh
40,6,Fisher Ville,Paige,Foster,66,Head,Widowed,Female,Astronomer,None,None
41,6,Fisher Ville,Heather,Foster,23,Daughter,Single,Female,Orthoptist,None,None
42,6,Fisher Ville,Sean,Foster,19,Son,Single,Male,"Production designer, theatre/television/film",None,None
43,7,Fisher Ville,Samantha,Walsh,38,Head,Married,Female,Adult guidance worker,None,Christian
44,7,Fisher Ville,Antony,Walsh,38,Husband,Married,Male,Cartographer,None,Christian
